# Copyright (C) 2009 Nortel, certain elements licensed under a Contributor Agreement.
# Contributors retain copyright to elements licensed under a Contributor Agreement.
# Licensed to the User under the LGPL license.
#
# This file tracks the accepted deltas (exceptions) between the default Polycom distributed sip.cfg and
# phone1.cfg, versus those generated by sipXconfig for a default Polycom SoundPoint IP profile.
#
# See: http://wiki.sipfoundry.org/display/xecsdev/Adding+Polycom+SoundPoint+IP+New+Configuration+File+Content+into+sipXconfig
#
# Example usage of this file: polycom_ini_diff.rb DUMP_000000000000.ini DUMP_000000000650.ini | polycom_diff_subtract.rb diff_default_exceptions.csv
#
# NON-BLANK DEFAULT: This is a common Reason Text.  For many Polycom parameters it is acceptable to use blank
#                    attribute value, which the phone maps to a non-blank default.  The Polycom distributed
#                    sip.cfg and phone1.cfg have a large number of these.  But for parameter values that are
#                    generated by sipXconfig, it is far simpler to use the actual non-blank default value.
#                    This leads to a number of false differences, which are suppresed here as known exceptions.
#
# ParameterID, Reason Text
meta-count.OverrideAttempts, sipXecs uses the recommended "override" method so these are expected
meta-count.OverrideSuccess, sipXecs uses the recommended "override" method so these are expected
meta-count.XmlAttributes, Each "override" attempt is performed via an XML attribute so extras are expected
meta-count.UniqueParameters, The Polycom's phone1.cfg six blank lines lack the secondary server attributes, which sipXecs always generates.
meta-mac, Just part of the filename

^licenses-, sipXecs may insert license content

sip-call.callsPerLineKey, NON-BLANK DEFAULT
sip-call.directedCallPickupString, sipXecs uses a different default Call Pickup code (it is configurable)
sip-call.localConferenceCallHold, NON-BLANK DEFAULT
sip-dialplan.digitmap, sipXecs does not assume the dial plan required for the Polycom default value to be useful
sip-dialplan.digitmap.timeOut, sipXecs does not assume the dial plan required for the Polycom default value to be useful
sip-dialplan.impossibleMatchHandling, sipXecs allows the user to accumulate digits and dispatch call manually with the Send soft key
sip-feature.16.enabled, "nway-conference" XCF-2728 (Enable Polycom Productivity Suite - Call Recording and Conference Call Management)
sip-feature.17.enabled, "call-recording" XCF-2728 (Enable Polycom Productivity Suite - Call Recording and Conference Call Management)
sip-feature.9.enabled, Disabling url-dialing removes the "@hostname"/"@IP" from the display for incoming calls.
sip-se.pat.misc.1.inst.[1-3].type, Intentionally disabled by default (XCF-840) See Sound Effects->Message Waiting
sip-tcpIpApp.keepalive.tcp.idleTransmitInterval, NON-BLANK DEFAULT
sip-tcpIpApp.keepalive.tcp.noResponseTrasmitInterval, NON-BLANK DEFAULT
sip-tcpIpApp.sntp.address, We supply a useful default NTP server address: pool.ntp.org
sip-tcpIpApp.sntp.gmtOffset, sipXecs uses the timezone of the system as the default
sip-voIpProt.server.dhcp.available, NON-BLANK DEFAULT
sip-voIpProt.SIP.alertInfo.2.class, For sipXpage
sip-voIpProt.SIP.alertInfo.2.value, For sipXpage
sip-voIpProt.SIP.allowTransferOnProceeding, XCF-2981/XTRN-229: Polycoms don't do this correctly on proxying systems, such as sipXecs.
sip-voIpProt.SIP.ms-forking, NON-BLANK DEFAULT
sip-voIpProt.SIP.musicOnHold.uri, sipXecs has a MOH server
sip-voIpProt.SIP.specialEvent.checkSync.alwaysReboot, sipXecs has a "Reboot" button for phones
sip-voIpProt.SIP.outboundProxy.transport, UDPOnly results in an earlier DNS SRV for _sip_udp.hostname, and we don't need NAPTR
sip-pnet.role, NON-BLANK DEFAULT, though only generated for SoundStation IP 7000s
sip-up.oneTouchVoiceMail, NON-BLANK DEFAULT (XCF-3077)
^sip-voIpProt.SIP.use486forReject, XTRN-520
^sip-voIpProt.SIP.useContactInReferTo, XX-6745

^sip-voIpProt.SIP.local.port, NON-BLANK DEFAULT
^sip-voIpProt.local.port, XX-6959: Explicit duplicate generation to maintain compatibility with pre-3.2.2 firmware.

sip-voIpProt.SIP.serverFeatureControl.cf, NON-BLANK DEFAULT
sip-voIpProt.SIP.serverFeatureControl.dnd, NON-BLANK DEFAULT

^sip-tcpIpApp.sntp.daylightSavings, These will depend on the locale that the system is in.

^phone1-attendant.behaviors.display.spontaneousCallAppearances.normal, XTRN-357

# If the generated profile has Lines programmed, then the following attributes will
# either be different or only appear in the generated profile.  (Don't add more than
# the six empty Lines pre-defined in the Polycom phone1.cfg, or some dialplan
# parameter deltas will show up.)
phone1-reg.[1-6].server.[1-2].address
phone1-reg.[1-6].server.[1-2].expires
phone1-reg.[1-6].server.[1-2].expires.lineSeize
phone1-reg.[1-6].server.[1-2].expires.overlap
phone1-reg.[1-6].server.[1-2].lcs
phone1-reg.[1-6].server.[1-2].port
phone1-reg.[1-6].server.[1-2].register
phone1-reg.[1-6].server.[1-2].retryMaxCount
phone1-reg.[1-6].server.[1-2].retryTimeOut
phone1-reg.[1-6].musicOnHold.uri
phone1-reg.[1-6].address
phone1-reg.[1-6].auth.password
phone1-reg.[1-6].auth.userId
phone1-reg.[1-6].displayName
phone1-reg.[1-6].bargeInEnabled, NON-BLANK DEFAULT
phone1-reg.[1-6].displayName
phone1-reg.[1-6].outboundProxy.address
phone1-reg.[1-6].outboundProxy.transport
^phone1-reg.[1-6].outboundProxy.port, XX-5958
^phone1-reg.1.label, XX-6976
phone1-reg.[1-6].server.[1-2].transport, UDPOnly results in an earlier DNS SRV for _sip_udp.hostname, and we don't need NAPTR
phone1-msg.mwi.[1-6].callBackMode, sipXecs voicemail uses the "contact" callback mode
phone1-msg.mwi.[1-6].callBack, the callback number will be generated for any programmed Line
phone1-msg.mwi.[1-6].subscribe, the subscribe number will be generated for any programmed Line
phone1-dialplan.[1-6].routing.emergency.1.value, sipXecs default Emergency Dial Rule might be enabled - will be removed with XCF-3581
phone1-dialplan.[1-6].routing.emergency.1.server.1, sipXecs default Emergency Dial Rule might be enabled - will be removed with XCF-3581
phone1-dialplan.[1-6].routing.server.1.address, sipXecs default Emergency Dial Rule might be enabled - will be removed with XCF-3581
phone1-divert.busy.[1-6].enabled, sipXecs uses server-based call forwarding
phone1-divert.fwd.[1-6].enabled, sipXecs uses server-based call forwarding
phone1-divert.noanswer.[1-6].enabled, sipXecs uses server-based call forwarding





